,count_spelling_errors,text_length,num_sentences,num_words,avg_word_length,num_unique_words,function_word_frequency,content_word_frequency,spelling_errors,quote_frequency,uppercase_frequency,punctuation_frequency,adverb_frequency,past_tense_verb_frequency,present_tense_verb_frequency,pronoun_frequency,coordinating_conjunction_frequency,negative_word_proportion,named_entity_frequency,adjective_frequency,proper_noun_frequency,modal_frequency,determiner_frequency,interrogative_adverb_frequency,interrogative_pronoun_frequency,preposition_frequency,negation_adverb_frequency,degree_adverb_frequency,manner_adverb_frequency,demonstrative_pronoun_frequency,possessive_pronoun_frequency,reflexive_pronoun_frequency,reciprocal_pronoun_frequency,indefinite_pronoun_frequency,possessive_adjective_frequency,demonstrative_adjective_frequency,indefinite_adjective_frequency,interrogative_adjective_frequency,exclamatory_adjective_frequency,auxiliary_verb_frequency,modal_verb_frequency,modifier_adverb_frequency,linking_adverb_frequency,place_adverb_frequency,subordinating_conjunction_frequency,correlative_conjunction_frequency,interjection_frequency,onomatopoeia_frequency,palindrome_frequency
10,12.0,1963.0,22.0,373.0,4.394101876675603,218.0,129.0,244.0,12.0,0.0,66.0,42.0,20.0,3.0,61.0,27.0,12.0,0.166,3.0,26.0,19.0,8.0,28.0,1.0,3.0,29.0,1.0,2.0,10.0,4.0,5.0,3.0,0.0,4.0,5.0,4.0,1.0,0.0,0.0,14.0,8.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0
11,33.0,2182.0,25.0,433.0,4.1362586605080836,167.0,184.0,249.0,33.0,0.0,61.0,33.0,32.0,2.0,80.0,21.0,14.0,0.064,6.0,31.0,18.0,8.0,45.0,8.0,0.0,44.0,2.0,1.0,5.0,12.0,1.0,0.0,0.0,6.0,1.0,12.0,6.0,0.0,0.0,14.0,6.0,1.0,0.0,4.0,11.0,4.0,0.0,0.0,12.0
12,19.0,1007.0,6.0,211.0,3.81042654028436,124.0,98.0,113.0,19.0,0.0,13.0,6.0,5.0,5.0,36.0,30.0,16.0,0.024,2.0,18.0,4.0,7.0,19.0,5.0,1.0,20.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,13.0,7.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,10.0
13,25.0,1618.0,25.0,332.0,3.9487951807228914,135.0,116.0,216.0,25.0,0.0,26.0,25.0,11.0,0.0,49.0,27.0,26.0,0.064,5.0,36.0,1.0,4.0,20.0,1.0,0.0,33.0,2.0,1.0,4.0,8.0,12.0,0.0,0.0,4.0,12.0,8.0,3.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0
14,9.0,991.0,13.0,197.0,4.1421319796954315,102.0,75.0,122.0,9.0,0.0,16.0,21.0,8.0,0.0,30.0,11.0,10.0,0.0,5.0,16.0,3.0,4.0,10.0,0.0,1.0,22.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,1.0,5.0
15,35.0,3168.0,35.0,605.0,4.3685950413223145,265.0,209.0,396.0,35.0,1.0,111.0,66.0,17.0,9.0,86.0,30.0,21.0,0.031,4.0,38.0,24.0,22.0,42.0,2.0,1.0,60.0,1.0,0.0,5.0,10.0,7.0,0.0,0.0,9.0,7.0,10.0,3.0,1.0,2.0,27.0,20.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,15.0
16,9.0,1804.0,18.0,385.0,3.8181818181818183,152.0,177.0,208.0,9.0,0.0,34.0,48.0,27.0,1.0,65.0,44.0,17.0,0.047,2.0,13.0,6.0,20.0,28.0,3.0,2.0,41.0,2.0,4.0,0.0,14.0,8.0,0.0,0.0,8.0,8.0,14.0,3.0,3.0,1.0,32.0,13.0,4.0,0.0,2.0,4.0,5.0,0.0,0.0,9.0
17,12.0,1959.0,15.0,418.0,3.813397129186603,177.0,187.0,231.0,12.0,0.0,34.0,48.0,39.0,1.0,75.0,44.0,28.0,0.02,6.0,22.0,11.0,12.0,26.0,3.0,0.0,30.0,4.0,2.0,6.0,6.0,11.0,1.0,0.0,12.0,11.0,6.0,8.0,1.0,0.0,25.0,12.0,2.0,0.0,4.0,9.0,5.0,0.0,1.0,19.0
18,31.0,362.0,7.0,72.0,4.125,54.0,21.0,51.0,31.0,0.0,7.0,6.0,1.0,1.0,13.0,4.0,1.0,0.0,6.0,7.0,3.0,0.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
19,9.0,868.0,11.0,181.0,3.9392265193370166,101.0,61.0,120.0,9.0,0.0,36.0,19.0,6.0,0.0,27.0,12.0,10.0,0.038,2.0,17.0,8.0,8.0,9.0,1.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0
20,15.0,2049.0,20.0,405.0,4.155555555555556,195.0,171.0,234.0,15.0,0.0,40.0,35.0,34.0,1.0,65.0,34.0,17.0,0.053,7.0,20.0,9.0,9.0,28.0,1.0,1.0,43.0,3.0,3.0,7.0,13.0,7.0,0.0,0.0,11.0,7.0,13.0,5.0,1.0,1.0,20.0,8.0,3.0,3.0,2.0,6.0,6.0,1.0,0.0,7.0
21,2.0,317.0,2.0,59.0,4.440677966101695,40.0,25.0,34.0,2.0,0.0,7.0,2.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,2.0,4.0,1.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,25.0,2878.0,30.0,593.0,3.9763912310286678,237.0,243.0,350.0,25.0,0.0,157.0,50.0,21.0,3.0,92.0,58.0,35.0,0.051,6.0,22.0,34.0,15.0,44.0,1.0,3.0,77.0,1.0,2.0,4.0,16.0,9.0,2.0,0.0,10.0,9.0,16.0,2.0,1.0,1.0,23.0,15.0,2.0,0.0,2.0,5.0,8.0,0.0,0.0,20.0
23,28.0,3216.0,39.0,673.0,3.959881129271917,266.0,233.0,440.0,28.0,3.0,137.0,106.0,34.0,6.0,97.0,55.0,22.0,0.029,2.0,49.0,32.0,23.0,42.0,1.0,2.0,71.0,2.0,2.0,4.0,7.0,9.0,0.0,0.0,6.0,9.0,7.0,4.0,1.0,1.0,31.0,23.0,2.0,1.0,1.0,3.0,5.0,0.0,1.0,14.0
24,9.0,1673.0,16.0,325.0,4.24923076923077,135.0,135.0,190.0,9.0,0.0,42.0,29.0,11.0,2.0,56.0,22.0,14.0,0.018,1.0,20.0,8.0,10.0,28.0,5.0,0.0,29.0,2.0,1.0,0.0,3.0,8.0,0.0,0.0,5.0,8.0,3.0,4.0,0.0,0.0,22.0,10.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,11.0
25,18.0,2004.0,22.0,429.0,3.843822843822844,180.0,167.0,262.0,18.0,2.0,97.0,52.0,13.0,7.0,68.0,41.0,24.0,0.021,3.0,19.0,25.0,10.0,21.0,3.0,1.0,40.0,3.0,2.0,4.0,13.0,6.0,0.0,0.0,12.0,6.0,13.0,8.0,1.0,1.0,18.0,10.0,2.0,0.0,1.0,3.0,8.0,1.0,0.0,9.0
26,9.0,650.0,7.0,142.0,3.73943661971831,74.0,58.0,84.0,9.0,0.0,27.0,13.0,6.0,0.0,22.0,10.0,7.0,0.069,0.0,9.0,7.0,6.0,7.0,1.0,0.0,13.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,3.0,3.0,5.0,0.0,0.0,3.0
27,14.0,2046.0,28.0,407.0,4.144963144963145,197.0,145.0,262.0,14.0,0.0,37.0,47.0,24.0,3.0,67.0,35.0,17.0,0.005,2.0,26.0,10.0,10.0,20.0,0.0,1.0,49.0,2.0,3.0,3.0,4.0,11.0,0.0,0.0,8.0,11.0,4.0,6.0,1.0,1.0,18.0,10.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0
28,15.0,2062.0,23.0,432.0,3.9166666666666665,176.0,187.0,245.0,15.0,0.0,62.0,55.0,21.0,0.0,72.0,44.0,21.0,0.004,4.0,32.0,10.0,5.0,26.0,1.0,1.0,50.0,4.0,1.0,4.0,4.0,11.0,0.0,0.0,5.0,11.0,4.0,3.0,0.0,0.0,17.0,5.0,1.0,0.0,1.0,6.0,7.0,0.0,1.0,12.0
29,6.0,1421.0,15.0,285.0,4.087719298245614,126.0,115.0,170.0,6.0,0.0,32.0,28.0,13.0,0.0,66.0,26.0,13.0,0.067,1.0,12.0,5.0,6.0,10.0,3.0,1.0,23.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,4.0,3.0,9.0,2.0,1.0,0.0,22.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,11.0
30,25.0,2603.0,34.0,574.0,3.7282229965156795,247.0,199.0,375.0,25.0,4.0,120.0,83.0,38.0,8.0,85.0,68.0,37.0,0.01,6.0,33.0,25.0,10.0,31.0,5.0,1.0,50.0,0.0,11.0,4.0,10.0,16.0,1.0,0.0,8.0,16.0,10.0,5.0,1.0,1.0,12.0,7.0,11.0,0.0,0.0,7.0,13.0,1.0,0.0,29.0
31,17.0,2768.0,36.0,588.0,3.879251700680272,241.0,211.0,377.0,17.0,2.0,169.0,73.0,33.0,8.0,95.0,56.0,27.0,0.047,6.0,37.0,38.0,10.0,30.0,6.0,2.0,44.0,1.0,4.0,7.0,11.0,12.0,0.0,0.0,4.0,12.0,11.0,3.0,0.0,0.0,19.0,9.0,4.0,0.0,1.0,4.0,9.0,0.0,1.0,14.0
32,9.0,917.0,12.0,191.0,3.931937172774869,107.0,68.0,123.0,9.0,0.0,50.0,19.0,6.0,1.0,26.0,11.0,10.0,0.0,0.0,15.0,10.0,3.0,14.0,0.0,0.0,20.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0
33,19.0,1878.0,26.0,416.0,3.6466346153846154,177.0,167.0,249.0,19.0,0.0,48.0,49.0,23.0,1.0,70.0,29.0,19.0,0.042,2.0,20.0,9.0,12.0,42.0,3.0,0.0,34.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,28.0,12.0,5.0,0.0,0.0,5.0,9.0,0.0,0.0,32.0
34,10.0,2283.0,33.0,473.0,3.955602536997886,184.0,182.0,291.0,10.0,0.0,47.0,62.0,20.0,2.0,83.0,51.0,12.0,0.031,4.0,32.0,10.0,13.0,36.0,10.0,4.0,40.0,6.0,1.0,1.0,6.0,2.0,0.0,0.0,11.0,2.0,6.0,8.0,2.0,2.0,32.0,13.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,19.0
35,26.0,3015.0,24.0,637.0,3.8869701726844585,256.0,274.0,363.0,26.0,1.0,194.0,67.0,31.0,5.0,94.0,66.0,20.0,0.134,7.0,43.0,57.0,9.0,36.0,7.0,3.0,80.0,9.0,3.0,4.0,14.0,19.0,1.0,0.0,5.0,19.0,14.0,3.0,2.0,3.0,16.0,9.0,3.0,0.0,0.0,11.0,7.0,0.0,0.0,14.0
36,24.0,2654.0,31.0,554.0,3.911552346570397,250.0,204.0,350.0,24.0,0.0,97.0,59.0,26.0,5.0,96.0,52.0,27.0,0.059,2.0,44.0,16.0,15.0,39.0,5.0,0.0,53.0,2.0,5.0,2.0,10.0,17.0,1.0,0.0,15.0,17.0,10.0,13.0,0.0,0.0,23.0,15.0,5.0,0.0,0.0,6.0,9.0,0.0,1.0,29.0
37,9.0,1868.0,17.0,379.0,4.005277044854881,171.0,174.0,205.0,9.0,1.0,23.0,26.0,17.0,1.0,68.0,37.0,18.0,0.057,2.0,19.0,6.0,12.0,33.0,2.0,0.0,46.0,2.0,1.0,4.0,11.0,10.0,0.0,0.0,4.0,10.0,11.0,0.0,0.0,0.0,17.0,12.0,1.0,0.0,1.0,9.0,4.0,0.0,0.0,17.0
38,12.0,2387.0,22.0,480.0,4.047916666666667,214.0,195.0,285.0,12.0,0.0,46.0,30.0,23.0,2.0,75.0,42.0,33.0,0.056,8.0,28.0,19.0,5.0,39.0,6.0,2.0,51.0,4.0,1.0,4.0,7.0,14.0,0.0,0.0,12.0,14.0,7.0,8.0,1.0,2.0,9.0,5.0,1.0,0.0,0.0,7.0,13.0,0.0,0.0,20.0
39,11.0,1022.0,15.0,215.0,3.874418604651163,118.0,83.0,132.0,11.0,0.0,43.0,23.0,0.0,2.0,35.0,23.0,6.0,0.023,1.0,13.0,8.0,2.0,21.0,4.0,0.0,21.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0
40,0.0,220.0,3.0,44.0,4.090909090909091,32.0,18.0,26.0,0.0,0.0,3.0,3.0,1.0,0.0,8.0,3.0,2.0,0.05,0.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
41,13.0,1482.0,14.0,304.0,3.950657894736842,139.0,144.0,160.0,13.0,0.0,36.0,18.0,18.0,0.0,52.0,41.0,12.0,0.102,6.0,19.0,12.0,7.0,21.0,0.0,4.0,40.0,4.0,1.0,1.0,3.0,13.0,0.0,0.0,8.0,13.0,3.0,6.0,1.0,1.0,22.0,7.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,6.0
42,5.0,776.0,8.0,155.0,4.109677419354838,90.0,68.0,87.0,5.0,0.0,20.0,13.0,6.0,0.0,29.0,15.0,9.0,0.0,2.0,5.0,3.0,5.0,13.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0
43,15.0,1636.0,28.0,358.0,3.6983240223463687,124.0,130.0,228.0,15.0,0.0,80.0,34.0,18.0,9.0,45.0,19.0,13.0,0.121,8.0,22.0,20.0,2.0,29.0,0.0,0.0,45.0,1.0,8.0,1.0,7.0,3.0,0.0,0.0,3.0,3.0,7.0,2.0,0.0,0.0,7.0,1.0,8.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0
44,15.0,1710.0,20.0,371.0,3.743935309973046,162.0,154.0,217.0,15.0,0.0,79.0,38.0,24.0,0.0,49.0,33.0,29.0,0.109,5.0,20.0,19.0,5.0,25.0,4.0,1.0,48.0,3.0,1.0,3.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,10.0,4.0,1.0,0.0,0.0,9.0,9.0,1.0,0.0,7.0
45,8.0,1630.0,11.0,325.0,4.101538461538461,112.0,144.0,181.0,8.0,0.0,20.0,30.0,6.0,1.0,62.0,51.0,8.0,0.0,5.0,16.0,5.0,6.0,16.0,5.0,2.0,33.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,7.0,4.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,8.0
46,18.0,1643.0,18.0,341.0,3.900293255131965,174.0,142.0,199.0,18.0,0.0,26.0,28.0,21.0,1.0,48.0,22.0,22.0,0.019,2.0,16.0,2.0,5.0,30.0,1.0,1.0,42.0,3.0,3.0,2.0,8.0,5.0,0.0,0.0,2.0,5.0,8.0,2.0,0.0,0.0,8.0,4.0,3.0,0.0,1.0,5.0,12.0,0.0,0.0,15.0
47,16.0,2852.0,33.0,626.0,3.691693290734824,237.0,286.0,340.0,16.0,1.0,81.0,76.0,44.0,5.0,91.0,59.0,23.0,0.033,7.0,28.0,13.0,21.0,52.0,7.0,1.0,76.0,6.0,6.0,6.0,3.0,15.0,0.0,0.0,13.0,15.0,3.0,11.0,0.0,0.0,40.0,20.0,6.0,0.0,4.0,13.0,9.0,0.0,0.0,21.0
48,5.0,1803.0,27.0,350.0,4.2542857142857144,153.0,145.0,205.0,5.0,0.0,29.0,36.0,19.0,1.0,51.0,34.0,11.0,0.009,5.0,21.0,2.0,10.0,18.0,3.0,3.0,47.0,4.0,4.0,1.0,9.0,3.0,0.0,0.0,15.0,3.0,9.0,9.0,2.0,2.0,19.0,10.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,6.0
49,7.0,472.0,4.0,87.0,4.482758620689655,64.0,34.0,53.0,7.0,0.0,2.0,4.0,8.0,0.0,12.0,3.0,4.0,0.033,2.0,5.0,0.0,5.0,6.0,0.0,0.0,11.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0
50,14.0,2791.0,13.0,603.0,3.683250414593698,210.0,316.0,287.0,14.0,0.0,51.0,25.0,42.0,11.0,113.0,89.0,48.0,0.008,11.0,28.0,14.0,16.0,45.0,5.0,4.0,63.0,2.0,11.0,2.0,4.0,5.0,0.0,0.0,18.0,5.0,4.0,8.0,2.0,2.0,32.0,16.0,11.0,0.0,4.0,15.0,14.0,0.0,0.0,14.0
51,12.0,1323.0,15.0,263.0,4.11787072243346,144.0,101.0,162.0,12.0,0.0,35.0,18.0,13.0,1.0,47.0,26.0,10.0,0.006,5.0,18.0,9.0,7.0,21.0,2.0,2.0,19.0,0.0,4.0,2.0,11.0,3.0,0.0,0.0,5.0,3.0,11.0,3.0,0.0,0.0,11.0,7.0,4.0,0.0,1.0,3.0,5.0,0.0,0.0,15.0
52,14.0,2214.0,27.0,487.0,3.6858316221765914,198.0,226.0,261.0,14.0,2.0,64.0,58.0,32.0,5.0,81.0,56.0,21.0,0.053,1.0,9.0,12.0,15.0,38.0,3.0,0.0,58.0,3.0,3.0,1.0,18.0,11.0,1.0,0.0,1.0,11.0,18.0,1.0,0.0,0.0,24.0,13.0,3.0,0.0,3.0,8.0,5.0,0.0,0.0,23.0
53,24.0,2300.0,30.0,487.0,3.8767967145790556,229.0,176.0,311.0,24.0,1.0,66.0,71.0,34.0,7.0,74.0,45.0,20.0,0.038,7.0,23.0,13.0,8.0,40.0,3.0,1.0,45.0,5.0,3.0,5.0,6.0,11.0,0.0,0.0,9.0,11.0,6.0,6.0,0.0,0.0,12.0,6.0,3.0,0.0,3.0,6.0,5.0,1.0,0.0,18.0
54,10.0,1363.0,11.0,260.0,4.334615384615384,118.0,120.0,140.0,10.0,0.0,24.0,22.0,25.0,0.0,39.0,23.0,15.0,0.0,2.0,15.0,9.0,11.0,12.0,2.0,3.0,38.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,2.0,2.0,3.0,1.0,1.0,16.0,11.0,2.0,0.0,7.0,13.0,4.0,0.0,0.0,3.0
55,11.0,2877.0,22.0,505.0,4.77029702970297,250.0,215.0,290.0,11.0,0.0,38.0,35.0,22.0,2.0,73.0,28.0,24.0,0.044,6.0,34.0,7.0,7.0,48.0,1.0,3.0,60.0,1.0,1.0,9.0,12.0,9.0,1.0,0.0,10.0,9.0,12.0,8.0,3.0,2.0,19.0,7.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,16.0
56,15.0,1723.0,23.0,333.0,4.303303303303303,163.0,127.0,206.0,15.0,0.0,50.0,36.0,9.0,2.0,50.0,8.0,15.0,0.19,8.0,28.0,15.0,8.0,28.0,2.0,0.0,34.0,3.0,3.0,0.0,4.0,5.0,0.0,0.0,3.0,5.0,4.0,1.0,0.0,1.0,15.0,8.0,3.0,0.0,1.0,5.0,4.0,0.0,0.0,5.0
57,12.0,1078.0,14.0,228.0,3.8815789473684212,119.0,96.0,132.0,12.0,1.0,39.0,28.0,12.0,2.0,40.0,29.0,8.0,0.073,3.0,7.0,6.0,6.0,11.0,3.0,2.0,21.0,3.0,0.0,1.0,3.0,6.0,0.0,0.0,3.0,6.0,3.0,2.0,0.0,0.0,10.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,6.0
58,18.0,2471.0,22.0,491.0,4.134419551934827,207.0,194.0,297.0,18.0,0.0,103.0,34.0,20.0,4.0,85.0,42.0,18.0,0.066,2.0,38.0,19.0,11.0,41.0,2.0,3.0,65.0,3.0,0.0,0.0,14.0,7.0,2.0,0.0,16.0,7.0,14.0,11.0,0.0,0.0,22.0,11.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,22.0
59,4.0,411.0,6.0,80.0,4.3,52.0,26.0,54.0,4.0,0.0,11.0,12.0,1.0,0.0,13.0,6.0,3.0,0.0,0.0,8.0,3.0,2.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
60,6.0,1681.0,23.0,337.0,4.097922848664688,157.0,137.0,200.0,6.0,0.0,23.0,36.0,19.0,1.0,68.0,26.0,17.0,0.067,2.0,20.0,6.0,5.0,18.0,1.0,1.0,34.0,1.0,5.0,2.0,4.0,14.0,1.0,0.0,6.0,14.0,4.0,5.0,0.0,0.0,9.0,4.0,5.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0
61,18.0,1500.0,14.0,313.0,3.8945686900958467,135.0,118.0,195.0,18.0,0.0,34.0,26.0,7.0,7.0,65.0,35.0,17.0,0.042,3.0,22.0,8.0,7.0,25.0,3.0,5.0,16.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,11.0,3.0,2.0,6.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,20.0
62,5.0,1594.0,17.0,326.0,4.0030674846625764,127.0,150.0,176.0,5.0,0.0,52.0,29.0,11.0,1.0,55.0,38.0,12.0,0.025,0.0,17.0,8.0,22.0,25.0,3.0,1.0,30.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,7.0,4.0,6.0,4.0,1.0,1.0,32.0,22.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,12.0
